Section	Verb Classes	List
45.3	cook verbs	bake barbecue blanch boil braise broil brown charbroil charcoal-broil coddle cook crisp deep-fry French  fry fry grill hardboil heat microwave oven-fry oven-poach overcook pan-broil pan-fry parboil parch percolate perk plank poach pot-roast rissole roast saute scald scallop shirr simmer softboil steam steam-bake stew stir-fry toast
45.4	alternating change of state verbs	abate accelerate acetify acidify advance age agglomerate air alkalify alter ameliorate americanize atrophy attenuate awake awaken balance blacken blast blunt blur brighten broaden brown burn burst calcify capsize caramelize carbonify carbonize change char cheapen chill clean clear clog close coagulate coarsen collapse collect compress condense contract cool corrode crimson crisp crumble crystallize dampen darken de-escalate decelerate decentralize decompose decrease deepen deflate defrost degenerate degrade dehumidify demagnetize democratize depressurize desiccate destabilize deteriorate detonate dim diminish dirty disintegrate dissipate dissolve distend divide double drain dry dull ease empty emulsify energize enlarge equalize evaporate even expand explode fade fatten federate fill firm flatten flood fossilize fray freeze freshen frost fructify fuse gasify gelatinize gladden glutenize granulate gray green grow halt harden harmonize hasten heal heat heighten humidify hush hybridize ignite improve increase incubate inflate intensify iodize ionize kindle lengthen lessen level levitate light lighten lignify liquefy loop loose loosen macerate magnetize magnify mature mellow melt moisten muddy multiply narrow neaten neutralize nitrify open operate ossify overturn oxidize pale petrify polarize pop proliferate propagate pulverize purify purple putrefy quadruple quicken quiet quieten redden regularize rekindle reopen reproduce ripen roughen round rupture scorch sear sharpen short short-circuit shorten shrink shrivel shut sicken silicify silver singe sink slack slacken slim slow smarten smooth soak sober soften solidify sour splay sprout stabilize steady steep steepen stiffen straighten stratify strengthen stretch submerge subside sweeten tame tan taper tauten tense thaw thicken thin tighten tilt tire topple toughen triple ulcerate unfold unionize vaporize vary vibrate vitrify volatilize waken warm warp weaken westernize whiten widen worsen yellow
45.5	blister verbs	blister bloom blossom burn corrode decay deteriorate erode ferment flower germinate molder molt rot rust sprout stagnate swell tarnish wilt wither
45.6	decrease verbs	appreciate balloon climb decline decrease depreciate differ diminish drop fall fluctuate gain grow increase jump mushroom plummet plunge rise rocket skyrocket soar surge tumble vary
46	lodge verbs	bivouac board camp dwell live lodge reside settle shelter stay stop
47.1	exist verbs	coexist correspond depend dwell endure exist extend flourish languish linger live loom lurk overspread persist predominate prevail prosper remain reside shelter stay survive thrive tower wait
47.2	billow verbs	billow bloom blossom blow breathe bristle bulge burn cascade corrode decay decompose effervesce erode ferment fester fizz flow flower foam froth germinate grow molt propagate rage ripple roil rot rust seethe smoke smolder spread sprout stagnate stream sweep tarnish trickle wilt wither
47.3	wobble verbs	bob bow creep dance drift eddy flap float flutter hover jiggle joggle oscillate pulsate quake quiver revolve rock rotate shake stir sway swirl teeter throb totter tremble undulate vibrate waft wave waver wiggle wobble writhe
47.4	echo verbs	din echo resonate resound reverberate sound
47.5.1	swarm verbs	abound bustle crawl creep hop run swarm swim teem throng
47.5.2	herd verbs	accumulate aggregate amass assemble cluster collect congregate convene flock gather group herd huddle mass
47.5.3	bulge verbs	bristle bulge seethe
47.6	balance verbs	balance bend bow crouch dangle flop fly hang hover jut kneel lean lie loll loom lounge nestle open perch plop project protrude recline rest rise roost sag sit slope slouch slump sprawl squat stand stoop straddle swing tilt tower
47.7	meander verbs	cascade climb crawl cut drop go meander plunge run straggle stretch sweep tumble turn twist wander weave wind
47.8	hug verbs	abut adjoin blanket border bound bracket bridge cap contain cover cross dominate edge encircle enclose fence fill flank follow frame head hit hug intersect line meet miss overhang precede rim ring skirt span straddle support surmount surround top touch underlie
48.1.1	appear verbs	appear arise awake awaken break burst come dawn derive develop emanate emerge erupt evolve exude flow form grow gush issue materialize open plop pop up result rise show up spill spread steal stem stream supervene surge turn up wax
48.1.2	assert verbs	assert declare define express form intrude manifest offer pose present proffer recommend shape show suggest
48.2	die verbs	die disappear expire lapse perish vanish
48.3	transpire verbs	ensue eventuate happen occur recur transpire
49	buck verbs	buck fidget flap gyrate kick rock squirm sway teeter totter twitch waggle wiggle wobble wriggle
50	crouch verbs	bend bow crouch flop hang kneel lean lie perch plop rise sit slouch slump sprawl squat stand stoop straddle
51.1	advance verbs	advance arrive ascend climb come cross depart descend enter escape exit fall flee go leave plunge recede return rise tumble
51.2	abandon verbs	abandon desert leave
51.3.1	roll verbs	bounce coil drift drop float glide move revolve roll rotate slide spin swing turn twirl twist whirl wind
51.3.2	run verbs	amble backpack bolt bounce bound bowl canter carom cavort charge clamber climb clump coast crawl creep dart dash dodder drift file flit float fly frolic gallop gambol glide goosestep hasten hike hobble hop hurry hurtle inch jog journey jump leap limp lollop lope lumber lurch march meander mince mosey nip pad parade perambulate plod prance promenade prowl race ramble roam roll romp rove run rush sashay saunter scamper scoot scram scramble scud scurry scutter scuttle shamble shuffle sidle skedaddle skip skitter skulk sleepwalk slide slink slither slog slouch sneak somersault speed stagger stomp stray streak stride stroll strut stumble stump swagger sweep swim tack tear tiptoe toddle totter traipse tramp travel trek troop trot trudge trundle vault waddle wade walk wander whiz zigzag zoom
51.4.1	skate verbs	balloon bicycle bike boat bobsled bus cab canoe caravan chariot coach cycle dogsled ferry gondola helicopter jeep jet kayak moped motor motorbike motorcycle parachute punt raft rickshaw rocket skate skateboard ski sled sledge sleigh taxi toboggan tram trolley yacht
51.4.2	pedal verbs	cruise drive fly oar paddle pedal ride row sail tack
51.5	waltz verbs	boogie bop cancan clog conga dance foxtrot jig jitterbug jive pirouette polka quickstep rumba samba shuffle squaredance tango tapdance waltz
51.6	chase verbs	chase follow pursue shadow tail track trail
51.7	accompany verbs	accompany conduct escort guide lead shepherd
52	avoid verbs	avoid boycott dodge duck elude evade shun sidestep
53.1	linger verbs	dally dawdle delay dither hesitate linger loiter tarry
53.2	rush verbs	hasten hurry rush
54.1	measure verbs	measure read register total weigh
54.2	cost verbs	carry cost last take
54.3	fit verbs	carry contain feed fit hold house seat serve sleep store take use
54.4	price verbs	appraise assess estimate fix peg price rate value
54.5	bill verbs	bet bill charge fine mulct overcharge save spare tax tip undercharge wager
55.1	begin verbs	begin cease commence continue end finish halt keep proceed repeat resume start stop terminate
55.2	complete verbs	complete discontinue initiate quit
56	weekend verbs	holiday honeymoon overnight sojourn summer vacation weekend winter
57	rain verbs	blow clear drizzle fog freeze gust hail howl lightning mist mizzle pelt pour precipitate rain roar shower sleet snow spit spot sprinkle storm swelter teem thaw thunder
